,Avg rate per sq ft,Locality
0,8117,Ambazari
1,2673,Amravati Road
2,3434,Amravati 
3,6948,Anjani
4,9723,Bajaj Nagar
5,2581,Baltraodi Road
6,3721,Bel Tarodi
7,2887,Besa
8,1987,Bhandara Road
9,1146,Bhilgaon
10,1867,Buti Bori
11,2630,Chandrapur Road
12,8350,Chatrapati Nagar
13,6494,Chatrapati Square
14,3691,Chinawada Road
15,4976,Chindwada Road
16,2396,Datta Wadi
17,1482,Dhamna
18,7648,Dhantoli
19,8189,Dharampeth
20,3903,Digori
21,342,Dongar Gaon
22,2706,Durga Nagar
23,4135,Gajanan Nagar
24,4499,Ganesh Peth
25,6730,Ghat Road
26,2202,Godhani
27,2410,Godhani Road
28,6391,Gokal Peth
29,2329,Gorewada
30,1664,Gumgaon
31,4118,Hazari Pahad
32,2401,Hingna
33,2751,Hingna Road
34,2386,Hudakeshwar Road
35,1653,Hudakeshwar 
36,3420,Indora
37,1840,Isasani
38,5014,Itwari
39,3427,Jafar Nagar
40,3002,Jaitala
41,3258,Jaitala Road
42,3303,Jamtha
43,4186,Jaripatka
44,5337,Kadvi Chowk
45,2794,Kalamna
46,594,Kaldongri
47,1010,Kalmeshwar
48,1278,Kamptee
49,2202,Kamptee Road
50,2838,Kamthi Road
51,214,Kanhan Kandri
52,1788,Katol
53,3337,Katol Road
54,3926,Khamla
55,2646,Khapri
56,6860,Kharbi Road
57,1875,Koradi
58,5382,Koradi Road
59,3038,Kotewada
60,6057,Lakadganj
61,4521,Lashkari Bagh
62,1742,Malagi Nager
63,2963,Manakpura
64,5913,Manewada
65,3437,Manewada Square
66,6524,Manish Nagar
67,5027,Medical Chowk
68,5386,Medical Square
69,2784,Mouza Matakzari
70,3227,Nandan Van
71,6920,Nara
72,3901,Narendra Nagar
73,3254,Nari Road
74,2316,Narsala
75,5386,Narsala Road
76,214,NH - 7
77,6902,Omkar Colony
78,6561,Pandey Layout
79,6916,Ramdas Peth
80,4398,Ramdaspeth
81,6047,Rameshwari
82,214,Ramtek
83,4831,Sadar
84,3437,Sakkardara
85,4734,Seminari Hill
86,7909,Sitabuldi
87,7914,Somalwada
88,4104,Sone Gaon
89,5163,Swavlambi Nagar
90,5322,Swawlambi Nagar
91,5537,Trimurti Nagar
92,3420,Uday nagar
93,4521,Ujwal Nagar
94,6740,Umred Road
95,2541,Wadi
96,2410,Wanadongri
97,6892,Wardha Road
98,2277,Wardhaman Nagar
99,6957,Wathoda
100,2567,Zingabai Takli
