Locality,Apartment and Flats_1,Individual Houses_1,Plot_1,Apartment and Flat_2,Individual House_2,Plot_2,Plot_3,Aparrtment and Flats_3
Ambazari,4009,,,10119,10070,7883,,
Amravati Road,3332,1250,275,6216,5077,249,,
Amravati ,3435,,,,,,,
Anjani,,,7000,,,,,
Bajaj Nagar,6098,,8000,6958,,18000,,
Baltraodi Road,2100,,,4329,,1720,,
Bel Tarodi,2541,1891,1387,3205,,13894,1275,3082
Besa,2427,2786,1350,4635,4396,1721,,
Bhandara Road,2971,2708,250,,,,,
Bhilgaon,1919,,161,,,1300,701.2222222,
Buti Bori,1990,2297,300,2733,,1635,,2253
Chandrapur Road,,,646,3345,4413,1413,,
Chatrapati Nagar,9167,,,5000,8445,10108,,
Chatrapati Square,6267,9333,3862,,,,,
Chinawada Road,3700,,,,,,,
Chindwada Road,4917,,,,,,,
Datta Wadi,,,3333,2607,,1100,,
Dhamna,,,1500,,,,,
Dhantoli,6068,12222,3478,7926,3666,12500,,
Dharampeth,5193,5660,2000,10513,,20000,,6290
Digori,10000,2937,736,4355,3983,2880,,3145
Dongar Gaon,,,357,,,,,
Durga Nagar,2655,,,,,,,
Gajanan Nagar,2572,,,5700,,,,
Ganesh Peth,4992,7000,283,7370,,1851,,
Ghat Road,,,5556,7853,,,,
Godhani,2433,2482,783,3630,2777,1056,,2572
Godhani Road,2420,2795,1579,3682,,1223,,2698
Gokal Peth,7308,4375,7000,5821,,8000,,
Gorewada,3144,1500,300,3723,,3095,,
Gumgaon,,,600,3016,,752,,
Hazari Pahad,3191,,1387,6453,6428,2400,,
Hingna,2851,2500,573,3851,2333,2390,,
Hingna Road,2428,2512,625,3228,3863,5963,743.7777778,2550
Hudakeshwar Road,2348,2754,425,3354,3750,1600,,
Hudakeshwar ,2617,,678,,,,,
Indora,2824,,3428,3600,,3832,,
Isasani,2500,,700,2800,,,,
Itwari,2991,7248,4833,,,,,
Jafar Nagar,3329,,2840,3821,,3611,,
Jaitala,3259,,,3973,1735,2888,,3783
Jaitala Road,4354,2943,644,,3606,4383,,
Jamtha,2083,,854,2903,3866,9322,998.7777778,
Jaripatka,3168,3958,4762,5600,,3500,,
Kadvi Chowk,3819,,,6912,,,,
Kalamna,,,1979,3555,,,,
Kaldongri,,,650,,,,,
Kalmeshwar,,,275,1756,,,,
Kamptee,1529,1596,648,,,,,
Kamptee Road,2464,2227,891,4341,3081,861,595,2975
Kamthi Road,2514,,4904,3249,,700,,
Kanhan Kandri,,,64,,,,,
Katol,3652,,100,,,,,
Katol Road,3315,2346,1319,6334,5739,968,,
Khamla,5187,6250,7,6780,,833,,
Khapri,3000,1714,,3348,3574,1832,,
Kharbi Road,20000,8046,2583,3435,3000,4133,,
Koradi,2861,,714,2555,,,,
Koradi Road,2618,2596,1300,19655,4190,8732,1508.777778,2699
Kotewada,,,10,5666,4084,1050,,
Lakadganj,3560,,9000,4479,,,,
Lashkari Bagh,4500,,,,,,,
Malagi Nager,2073,,1443,,,,,
Manakpura,3037,,2900,,,,,
Manewada,3184,,825,24121,4893,3685,2188.777778,3103
Manewada Square,3469,,,,,,,
Manish Nagar,3510,3500,2500,23653,5179,5265,,3570
Medical Chowk,4048,,,6099,,,,
Medical Square,3680,5000,6000,,,,,6630
Mouza Matakzari,2780,,,,,,,
Nandan Van,3266,3138,2087,4857,,,,
Nara,,,1300,3000,,17750,,
Narendra Nagar,3579,1250,,,5655,5479,,2953
Nari Road,4558,3480,3750,,,600,,
Narsala,1900,,,2893,,,,2147
Narsala Road,2800,,350,23778,,,,
NH - 7,,,180,,,,,
Omkar Colony,2650,2395,16321,,6666,3500,,3655
Pandey Layout,4800,,,3885,,7578,,
Ramdas Peth,7493,,551,10398,14970,14665,,
Ramdaspeth,3756,,,,14970,,,
Rameshwari,2700,4167,8462,3350,,,,
Ramtek,,,120,,,,,
Sadar,6096,3241,303,5919,,8500,,
Sakkardara,3125,3000,,3176,,,,
Seminari Hill,3209,20923,3150,6075,6250,3016,,
Sitabuldi,4390,,,5769,,40000,,
Somalwada,3757,,3475,9536,7692,20833,,4059
Sone Gaon,4582,7015,2670,3942,6333,3500,,
Swavlambi Nagar,4142,4667,3333,5624,6560,7142,,4994
Swawlambi Nagar,3985,4667,3333,8155,6560,,,
Trimurti Nagar,4568,6046,4575,,9375,5976,,4463
Uday nagar,2615,,,3632,5000,,,
Ujwal Nagar,4518,,,,,,,
Umred Road,2446,2319,292,4253,,23380,,
Wadi,2647,4889,,3050,,1675,,
Wanadongri,3645,3600,656,2714,,1035,,2656
Wardha Road,3085,5512,649,5966,4855,63202,,3846
Wardhaman Nagar,3444,8573,267,3188,,,,
Wathoda,2773,,46797,4200,4062,884,,3018
Zingabai Takli,3265,3291,1286,3755,,2997,935,2762
